date,HouseType,RUs,EVs,HVAC,Isolation,Holiday,Seed
348.0,5.0,0.0,0.0,0.0,1.0,0.0,16.52
124.0,2.0,0.0,0.0,1.0,1.0,1.0,6.71
179.0,3.0,0.0,0.0,0.0,1.0,0.0,10.37
33.0,2.0,0.0,0.0,1.0,1.0,1.0,14.46
338.0,3.0,0.0,0.0,1.0,1.0,1.0,11.82
180.0,2.0,2.0,0.0,1.0,1.0,0.0,29.92
221.0,5.0,1.0,0.0,0.0,1.0,0.0,23.15
322.0,0.0,0.0,0.0,0.0,0.0,1.0,5.12
311.0,3.0,0.0,0.0,1.0,1.0,1.0,8.61
211.0,1.0,0.0,0.0,1.0,1.0,0.0,9.18
99.0,2.0,0.0,0.0,1.0,1.0,0.0,8.19
199.0,2.0,1.0,0.0,0.0,1.0,0.0,34.02
63.0,2.0,1.0,0.0,0.0,1.0,1.0,24.7
313.0,3.0,0.0,0.0,1.0,1.0,0.0,9.48
38.0,4.0,1.0,0.0,0.0,0.0,1.0,26.56
359.0,6.0,0.0,85.0,1.0,0.0,1.0,39.07
182.0,5.0,0.0,0.0,0.0,1.0,1.0,11.53
259.0,4.0,0.0,0.0,0.0,1.0,1.0,14.020000000000003
50.0,5.0,0.0,0.0,0.0,1.0,1.0,17.93
354.0,4.0,1.0,0.0,0.0,0.0,0.0,40.18
99.0,6.0,0.0,85.0,1.0,0.0,1.0,24.1
105.0,5.0,1.0,0.0,0.0,1.0,1.0,22.08
337.0,5.0,0.0,0.0,0.0,1.0,0.0,25.84
79.0,3.0,0.0,0.0,0.0,1.0,0.0,3.85
296.0,4.0,1.0,0.0,0.0,0.0,1.0,32.56
176.0,3.0,0.0,0.0,0.0,1.0,1.0,15.32
23.0,6.0,1.0,0.0,1.0,1.0,0.0,19.303
267.0,3.0,0.0,0.0,1.0,1.0,1.0,29.23
126.0,4.0,0.0,0.0,0.0,1.0,1.0,20.25
127.0,5.0,0.0,0.0,0.0,1.0,0.0,0.68
56.0,1.0,0.0,0.0,0.0,1.0,1.0,10.37
30.0,3.0,0.0,0.0,1.0,1.0,0.0,3.14
177.0,1.0,0.0,0.0,1.0,1.0,0.0,12.25
27.0,2.0,2.0,0.0,1.0,1.0,0.0,19.68
54.0,5.0,0.0,0.0,0.0,1.0,0.0,15.240000000000002
69.0,5.0,0.0,0.0,0.0,1.0,0.0,18.23
211.0,3.0,0.0,0.0,1.0,1.0,0.0,15.98
363.0,5.0,0.0,0.0,0.0,0.0,1.0,16.01
215.0,2.0,2.0,0.0,1.0,1.0,0.0,29.64
14.0,3.0,0.0,0.0,0.0,1.0,0.0,20.66
