Month,Day,Coverage,Generation,Consumption
3.0,18.0,3.1370410594240594,0.8013910882684387,25.546082218495698
3.0,19.0,4.8888633172168126,1.2431401656862306,25.428000028316184
3.0,20.0,2.0972318410647692,0.5308859998355197,25.313653428320432
3.0,21.0,8.863224306938159,2.2353475724352023,25.220478406321785
3.0,22.0,21.930467127049642,5.509341722929247,25.12186216103839
3.0,23.0,21.924295070858214,5.485946242258566,25.02222408760813
3.0,24.0,10.887795304445193,2.7134411717352536,24.921860632587652
3.0,25.0,7.854166517487283,1.9505661955917857,24.834795534941293
3.0,26.0,6.4827629683082355,1.605269585906694,24.76212062286169
3.0,27.0,4.418863437904009,1.0911017910403749,24.69191017946269
3.0,28.0,9.010717196583826,2.2185917322087243,24.621699736063675
3.0,29.0,11.702872939170604,2.87400298360353,24.55809781531486
3.0,30.0,22.07180413206445,5.406895067859256,24.49684237639858
3.0,31.0,6.064866988567797,1.4819858456341481,24.43558693748229
4.0,1.0,21.81783762286573,5.322121470296947,24.393441560492725
4.0,2.0,16.83393649379579,4.100442588935841,24.358192098723162
4.0,3.0,5.483892257872012,1.3339539062719543,24.324947383076164
4.0,4.0,5.585991297199884,1.3572905438166105,24.29811418605299
4.0,5.0,5.291824186216545,1.2845251273426332,24.273768026692895
4.0,6.0,11.68615803068258,2.833825760943411,24.24942186733281
4.0,7.0,12.133829266005165,2.939429325965902,24.22507570797272
4.0,8.0,9.415191023536028,2.2785449160912075,24.20072954861263
4.0,9.0,21.979036874853765,5.314236199920877,24.178658192256364
4.0,10.0,16.31371731018576,3.942322477128217,24.165690762992185
4.0,11.0,15.91445312372272,3.8440250773749685,24.15430205166718
4.0,12.0,23.17156303014338,5.595892834694788,24.149828940823777
4.0,13.0,22.94003193524519,5.539188750388501,24.146386395731476
4.0,14.0,18.952333907428653,4.5756513336561495,24.142943850639178
4.0,15.0,13.450426986013934,3.2468673817227907,24.139511593936454
4.0,16.0,4.290089726442416,1.0355024787953153,24.137082085087584
4.0,17.0,5.749498157014139,1.387642725337618,24.135023395820276
4.0,18.0,22.25189952203202,5.3716234366901086,24.140066924945284
4.0,19.0,7.713836013001439,1.8625142255850489,24.145110454070284
4.0,20.0,13.129009851943726,3.1709517514705468,24.152253576084362
4.0,21.0,14.640182323380282,3.5378372607066315,24.165254110645378
4.0,22.0,19.73955299495247,4.772679388945073,24.17825464520639
4.0,23.0,9.382967890390749,2.269857705800063,24.191255179767392
4.0,24.0,13.281118016773293,3.214595766501549,24.204255714328404
4.0,25.0,23.98268125497328,5.8079473748712465,24.217256248889413
4.0,26.0,19.05348343763891,4.616707963132105,24.23025678345042
4.0,27.0,18.569056742029307,4.501855477497953,24.243856540695617
4.0,28.0,21.493042477474667,5.213253790636655,24.255541280860058
4.0,29.0,17.706305428152774,4.296114705171901,24.263191000541195
4.0,30.0,20.795037428423534,5.047130411963295,24.27084072022234
5.0,1.0,19.95835182882384,4.8455865407233,24.278490439903493
5.0,2.0,13.029999162142886,3.1644838593107245,24.286140159584633
5.0,3.0,23.800243492279687,5.781981144768055,24.29378987926578
5.0,4.0,19.597129080492085,4.762384486623448,24.30143959894693
5.0,5.0,20.1108983338847,4.888776238762515,24.309089318628068
5.0,6.0,17.808289026888154,4.330395169856248,24.316739038309215
5.0,7.0,25.00989593399801,6.083504314954501,24.324388757990363
5.0,8.0,24.922828531930072,6.064232228113316,24.3320384776715
5.0,9.0,23.28186621903544,5.666733644238002,24.339688197352647
5.0,10.0,23.41551881606451,5.701055491173858,24.3473379170338
5.0,11.0,24.616245489188096,5.995071075199143,24.354124506242382
5.0,12.0,21.550945829442636,5.24959754590115,24.35901230250978
5.0,13.0,24.404558783866825,5.945902321648668,24.363900098777194
5.0,14.0,24.3997808357864,5.94593083872853,24.368787895044605
5.0,15.0,22.05615217105656,5.375895000155601,24.373675691312016
5.0,16.0,18.2541685253825,4.450104063090112,24.378563487579417
5.0,17.0,16.41115703053809,4.002133780747856,24.386664348532133
5.0,18.0,8.629850066638136,2.105444579396282,24.397232433222143
5.0,19.0,16.211019766872468,3.956753366617542,24.407800517912165
5.0,20.0,17.986489126118432,4.392007213482558,24.41836860260218
5.0,21.0,20.95608738885235,5.119349320356363,24.42893668729219
5.0,22.0,18.41064319015906,4.49947002101154,24.439504771982204
5.0,23.0,13.605703695814904,3.3266044662896883,24.450072856672215
5.0,24.0,20.564064227420253,5.030101913620382,24.460640941362225
5.0,25.0,12.392273931049811,3.032539256748181,24.471209026052243
5.0,26.0,9.05454217269815,2.2167128331181205,24.481777110742257
5.0,27.0,18.05432709547457,4.42194971740879,24.492464848037343
5.0,28.0,13.741988374131726,3.367307887600067,24.503789378389918
5.0,29.0,2.8513102150644904,0.6990142343087764,24.51554484025044
5.0,30.0,14.780979633676594,3.6253752623457176,24.52730030211095
5.0,31.0,9.5877178078735,2.352735419366302,24.53905576397148
6.0,1.0,18.28992796232288,4.490232564306143,24.55030207639959
6.0,2.0,24.893872723097545,6.114033483780071,24.560395048968104
6.0,3.0,23.76086674366957,5.838160917066612,24.57048802153663
6.0,4.0,13.062497957210098,3.2119465813565795,24.589068583039918
6.0,5.0,18.75093014669807,4.615206139198416,24.613211734518288
6.0,6.0,20.201242997940028,4.977051928785032,24.637354885996643
6.0,7.0,24.03933734098055,5.928460706567915,24.661498037475006
6.0,8.0,23.61453194894353,5.829398625366956,24.685641188953365
