"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","17","13","0","54","5","2","51.253","4.501","96.559","84.532"
"1","17","14","0","89","4","2","90.509","4.558","170.474","156.934"
"1","17","15","0","10","4","2","9.46","2.388","17.983","7.453"
"1","17","16","0","14","3","2","13.272","1.172","25.36","14.695"
"1","17","17","0","0","2","2","0","2","0","0"
"1","17","18","0","0","2","2","0","2","0","0"
"1","17","19","0","0","2","1","0","2","0","0"
"1","17","20","0","0","2","1","0","2","0","0"
"1","17","21","0","0","1","1","0","1","0","0"
"1","17","22","0","0","1","1","0","1","0","0"
"1","17","23","0","0","1","0","0","1","0","0"
"1","18","0","0","0","1","0","0","1","0","0"
"1","18","1","0","0","1","0","0","1","0","0"
"1","18","2","0","0","1","0","0","1","0","0"
"1","18","3","0","0","1","0","0","1","0","0"
"1","18","4","0","0","1","1","0","1","0","0"
"1","18","5","0","0","1","1","0","1","0","0"
"1","18","6","0","0","1","1","0","1","0","0"
"1","18","7","0","0","1","1","0","1","0","0"
"1","18","8","0","3","1","1","2.835","-1.68","5.482","0"
"1","18","9","0","13","2","0","12.302","-2.029","23.825","13.187"
"1","18","10","5","98","2","0","102.504","2.643","194.448","180.395"
"1","18","11","3","117","3","0","120.453","6.179","225.215","210.489"
"1","18","12","0","112","3","0","112.057","6.093","209.67","195.287"
"1","18","13","450","99","2","0","408.373","17.151","715.24","687.417"
"1","18","14","324","88","2","1","288.656","11.339","513.599","491.706"
"1","18","15","76","56","1","1","96.55","3.279","176.93","163.253"
"1","18","16","60","12","0","1","33.733","-1.093","58.219","46.937"
"1","18","17","0","0","0","2","0","0","0","0"
"1","18","18","0","0","0","2","0","0","0","0"
"1","18","19","0","0","0","2","0","0","0","0"
"1","18","20","0","0","0","2","0","0","0","0"
"1","18","21","0","0","0","2","0","0","0","0"
"1","18","22","0","0","0","2","0","0","0","0"
"1","18","23","0","0","-1","2","0","-1","0","0"
"1","19","0","0","0","-1","1","0","-1","0","0"
"1","19","1","0","0","-1","1","0","-1","0","0"
"1","19","2","0","0","-1","1","0","-1","0","0"
"1","19","3","0","0","-1","1","0","-1","0","0"
"1","19","4","0","0","-2","1","0","-2","0","0"
"1","19","5","0","0","-2","1","0","-2","0","0"
"1","19","6","0","0","-2","1","0","-2","0","0"
"1","19","7","0","0","-2","1","0","-2","0","0"
"1","19","8","287","21","-1","1","111.958","0.26","183.274","169.462"
"1","19","9","586","45","0","0","318.861","11.744","543.184","520.468"
"1","19","10","0","91","0","0","91.376","4.848","171.892","158.323"
"1","19","11","25","127","0","0","153.385","4.624","288.149","271.991"
"1","19","12","766","67","1","0","594.143","23.232","1012.902","974.944"
"1","19","13","0","87","1","1","85.054","4.689","160.11","146.788"
"1","19","14","641","61","1","1","428.862","13.155","750.378","721.445"
"1","19","15","485","45","0","1","259.466","8.549","443.806","423.79"
"1","19","16","0","17","0","1","16.331","-0.689","31.451","20.673"
"1","19","17","0","0","0","1","0","0","0","0"
"1","19","18","0","0","0","1","0","0","0","0"
"1","19","19","0","0","0","1","0","0","0","0"
"1","19","20","0","0","0","1","0","0","0","0"
"1","19","21","0","0","0","1","0","0","0","0"
"1","19","22","0","0","0","1","0","0","0","0"
"1","19","23","0","0","0","1","0","0","0","0"
"1","20","0","0","0","0","2","0","0","0","0"
"1","20","1","0","0","0","2","0","0","0","0"
"1","20","2","0","0","0","2","0","0","0","0"
"1","20","3","0","0","0","2","0","0","0","0"
"1","20","4","0","0","0","2","0","0","0","0"
"1","20","5","0","0","0","2","0","0","0","0"
"1","20","6","0","0","0","2","0","0","0","0"
"1","20","7","0","0","0","2","0","0","0","0"
"1","20","8","0","0","0","2","0","0","0","0"
"1","20","9","0","3","0","2","2.836","-2.205","5.497","0"
"1","20","10","0","33","0","2","31.281","-1.372","60.415","49.091"
"1","20","11","0","25","0","2","23.689","-1.479","45.774","34.728"
"1","20","12","0","33","1","2","31.286","-0.279","60.149","48.83"
"1","20","13","0","36","1","2","34.133","-0.167","65.592","54.169"
"1","20","14","78","104","1","2","155.548","3.333","291.059","274.833"
"1","20","15","0","27","1","2","25.59","0.072","49.126","38.016"
"1","20","16","0","4","1","2","3.781","-1.065","7.292","0"
"1","20","17","0","0","1","2","0","1","0","0"
"1","20","18","0","0","1","2","0","1","0","0"
"1","20","19","0","0","1","2","0","1","0","0"
"1","20","20","0","0","1","2","0","1","0","0"
"1","20","21","0","0","1","2","0","1","0","0"
"1","20","22","0","0","1","2","0","1","0","0"
"1","20","23","0","0","1","2","0","1","0","0"
"1","21","0","0","0","2","2","0","2","0","0"
"1","21","1","0","0","2","2","0","2","0","0"
"1","21","2","0","0","2","2","0","2","0","0"
"1","21","3","0","0","2","2","0","2","0","0"
"1","21","4","0","0","2","2","0","2","0","0"
"1","21","5","0","0","2","2","0","2","0","0"
"1","21","6","0","0","2","2","0","2","0","0"
"1","21","7","0","0","2","2","0","2","0","0"
"1","21","8","0","3","2","1","2.835","-0.723","5.46","0"
"1","21","9","0","13","3","1","12.302","0.62","23.562","12.929"
"1","21","10","0","44","3","0","41.738","0.544","79.967","68.265"
"1","21","11","685","81","4","0","549.386","23.634","933.789","898.686"
"1","21","12","0","40","4","0","37.937","9.247","70.017","58.509"
